Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,387950,6589705,16.9859646861709,Original
This Song,240160,3606779,15.0182336775483,Original
Actor,215839,3203967,14.84424501596097,Original
Caramel,195404,2665972,13.643384987001289,Original
Eleven Eleven,167956,2827117,16.832485889161447,Original
Nauseous,164963,2484121,15.058655577311276,Original
My World,158150,2127183,13.450414163768574,Original
Romeo,147995,1824962,12.331240920301362,Original
Sunset Tower,128954,1770758,13.731702777734696,Original
The Best,127291,1523610,11.969502949933617,New
Connell,125434,1798507,14.338273514358148,Original
Care,124057,1887882,15.21785953231176,Original
Class Clown,123391,1547105,12.538232123898826,Original
Door,87059,644570,7.403829586831918,New
Moths,70214,857284,12.209587831486598,New
House That Always Rains,63408,572601,9.030422028766086,New
Do I Dare,63142,493186,7.810744037249375,New
