Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,382289,6471030,16.92706303346421,Original
This Song,238306,3561107,14.94342148330298,Original
Actor,213072,3140878,14.740923255988585,Original
Caramel,193122,2614397,13.537541036236162,Original
Eleven Eleven,165075,2768604,16.771794638800547,Original
Nauseous,163190,2435913,14.926852135547522,Original
My World,156039,2084269,13.357359378104192,Original
Romeo,146837,1795510,12.22791258334071,Original
Sunset Tower,127696,1737104,13.603433153740133,Original
The Best,124344,1457833,11.724192562568359,New
Connell,124257,1766400,14.215698109563244,Original
Care,122713,1850992,15.083911240047916,Original
Class Clown,122444,1521441,12.425606808010192,Original
Door,83076,592367,7.1304227454379125,New
Moths,66850,778785,11.649738219895289,New
House That Always Rains,61317,525823,8.575484775837044,New
Do I Dare,61148,454434,7.431706678877478,New
