Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,399477,6822211,17.077856797763076,Original
This Song,243585,3696166,15.17402959952378,Original
Actor,220923,3328578,15.066688393693731,Original
Caramel,199828,2766756,13.84568729107032,Original
Eleven Eleven,173872,2942649,16.924225867304685,Original
Nauseous,168760,2582220,15.301137710357905,Original
My World,161648,2207800,13.658071859843611,Original
Romeo,150367,1885074,12.536487394175584,Original
The Best,133872,1651896,12.339368949444244,New
Sunset Tower,131484,1839123,13.987428128137264,Original
Connell,127713,1864182,14.596650301848676,Original
Care,126647,1961463,15.487638870245643,Original
Class Clown,125509,1600577,12.752687058298608,Original
Door,97584,760687,7.795202082308575,New
Moths,78275,1033962,13.209351644841904,New
House That Always Rains,68399,668220,9.769441073699907,New
Do I Dare,68010,571150,8.398029701514483,New
