Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,402264,6867262,17.071530139410935,Original
This Song,244564,3716661,15.197089514401139,Original
Actor,222045,3353893,15.104564390101105,Original
Caramel,200863,2788608,13.883134275600783,Original
Eleven Eleven,175187,2967495,16.939013739603965,Original
Nauseous,169738,2602698,15.333620049723692,Original
My World,162389,2224466,13.698378584756357,Original
Romeo,150999,1899162,12.577315081556831,Original
The Best,135041,1677413,12.421509023185552,New
Sunset Tower,132160,1855850,14.042448547215496,Original
Connell,128358,1879982,14.64639523831783,Original
Care,127370,1978093,15.530289707152392,Original
Class Clown,126050,1613448,12.800063466878223,Original
Door,98586,783621,7.948603249954354,New
Moths,79827,1075029,13.466984854748393,New
House That Always Rains,69516,687772,9.893722308533288,New
Do I Dare,68897,587126,8.521793401744633,New
