Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,394325,6723471,17.05058264122234,Original
This Song,241919,3654233,15.105192233764194,Original
Actor,218668,3275183,14.97787970805056,Original
Caramel,197924,2722473,13.755143388371295,Original
Eleven Eleven,171368,2891883,16.875280098968304,Original
Nauseous,166936,2538343,15.205485934729477,Original
My World,160128,2172590,13.56783323341327,Original
Romeo,149217,1857502,12.448326933258274,Original
The Best,131339,1597315,12.16177220779814,New
Sunset Tower,130265,1807275,13.873834107396462,Original
Connell,126610,1832793,14.475894479109074,Original
Care,125411,1928522,15.377614403840173,Original
Class Clown,124496,1575585,12.655707813905668,Original
Door,94442,712760,7.547065924059211,New
Moths,75235,953658,12.67572273542899,New
House That Always Rains,66489,627251,9.433906360450601,New
Do I Dare,66084,536630,8.120422492585195,New
