Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,402111,6864968,17.07232082683637,Original
This Song,244520,3715655,15.195709962375266,Original
Actor,221979,3352678,15.103581870357106,Original
Caramel,200803,2787568,13.882103355029557,Original
Eleven Eleven,175111,2966145,16.938656052446735,Original
Nauseous,169688,2601712,15.332327565885626,Original
My World,162354,2223677,13.696471907067274,Original
Romeo,150974,1898513,12.57509902367295,Original
The Best,134983,1676202,12.417874843498812,New
Sunset Tower,132123,1854890,14.039115067020882,Original
Connell,128328,1879272,14.644286515803254,Original
Care,127335,1977311,15.528417167314563,Original
Class Clown,126019,1612624,12.79667351748546,Original
Door,98546,782545,7.940910843666917,New
Moths,79748,1073252,13.45804283493003,New
House That Always Rains,69474,686640,9.88340962086536,New
Do I Dare,68868,586433,8.51531916129407,New
