Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,399036,6814781,17.07811074690003,Original
This Song,243433,3692357,15.167857274896994,Original
Actor,220735,3323956,15.058581557070696,Original
Caramel,199654,2762775,13.837814418944774,Original
Eleven Eleven,173595,2938037,16.924663728794034,Original
Nauseous,168599,2578048,15.291004098482198,Original
My World,161538,2204380,13.646200893907316,Original
Romeo,150274,1882319,12.525912666196415,Original
The Best,133703,1647159,12.319536584818591,New
Sunset Tower,131379,1836088,13.975505978885515,Original
Connell,127621,1861268,14.584339567939447,Original
Care,126550,1957704,15.46980640063216,Original
Class Clown,125431,1597896,12.73924308982628,Original
Door,97413,756699,7.767946783283545,New
Moths,78024,1027737,13.172062442325439,New
House That Always Rains,68270,665233,9.744148234949465,New
Do I Dare,67881,568333,8.372490092956792,New
