Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,393949,6714980,17.04530281838512,Original
This Song,241809,3651391,15.100310575702311,Original
Actor,218483,3270716,14.970116668116054,Original
Caramel,197765,2719120,13.749247844664122,Original
Eleven Eleven,171195,2888037,16.869867694734076,Original
Nauseous,166832,2534983,15.194824733864007,Original
My World,159983,2169775,13.56253476931924,Original
Romeo,149139,1855541,12.441688626046842,Original
The Best,131163,1592633,12.14239534014928,New
Sunset Tower,130182,1805016,13.865327003733235,Original
Connell,126536,1830691,14.46774830878169,Original
Care,125324,1926145,15.369322715521369,Original
Class Clown,124423,1573929,12.64982358567146,Original
Door,94061,708446,7.531771935233519,New
Moths,74989,946483,12.62162450492739,New
House That Always Rains,66331,624065,9.408346022221886,New
Do I Dare,65942,534118,8.099814988929666,New
