Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,401272,6850995,17.073194740724496,Original
This Song,244265,3709337,15.18570814484269,Original
Actor,221612,3344730,15.092729635579301,Original
Caramel,200478,2781103,13.872360059457895,Original
Eleven Eleven,174671,2958494,16.937522542379675,Original
Nauseous,169355,2596290,15.330459685276491,Original
My World,162159,2218712,13.682324138654037,Original
Romeo,150801,1895032,12.566441867096373,Original
The Best,134653,1669326,12.397243284590763,New
Sunset Tower,131955,1850883,14.02662271228828,Original
Connell,128161,1874852,14.628880860792284,Original
Care,127132,1973209,15.52094673252997,Original
Class Clown,125866,1609384,12.786487216563646,Original
Door,98222,776839,7.909012237584248,New
Moths,79381,1058790,13.338078381476675,New
House That Always Rains,69134,681864,9.86293285503515,New
Do I Dare,68607,582441,8.489527307709126,New
