Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,375757,6398833,17.02917843180566,Original
This Song,236872,3537032,14.932250329291769,Original
Actor,210824,3105930,14.732335976928622,Original
Caramel,191007,2584213,13.52941515232426,Original
Nauseous,161928,2411315,14.891278839978263,Original
Eleven Eleven,161870,2734422,16.892704021745846,Original
My World,154412,2060354,13.343224619848199,Original
Romeo,146083,1779542,12.181718612021934,Original
Sunset Tower,126988,1718661,13.534042586701105,Original
Connell,123589,1749555,14.156235587309551,Original
The Best,122314,1422403,11.629110322612293,New
Class Clown,121844,1508000,12.376481402449032,Original
Care,121764,1831247,15.039313754475872,Original
Door,81240,566099,6.968229935992122,New
Moths,64692,734735,11.357432139986397,New
House That Always Rains,59918,498855,8.325628358756967,New
Do I Dare,59847,433551,7.244323023710462,New
