Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,397430,6787268,17.077895478449037,Original
This Song,242790,3679164,15.153688372667737,Original
Actor,219991,3307931,15.03666513630103,Original
Caramel,198989,2748738,13.813517330103673,Original
Eleven Eleven,172805,2922749,16.913567315760538,Original
Nauseous,167961,2565689,15.27550443257661,Original
My World,161033,2193637,13.622282389323928,Original
Romeo,149856,1873471,12.50180840273329,Original
The Best,132948,1631395,12.270925474621656,New
Sunset Tower,130955,1825668,13.941185903554656,Original
Connell,127223,1851790,14.555465599773626,Original
Care,126103,1947448,15.443312213032204,Original
Class Clown,125050,1589730,12.712754898040783,Original
Door,96636,741580,7.673951736412931,New
Moths,77123,999659,12.961879076280747,New
House That Always Rains,67664,653265,9.654543036178765,New
Do I Dare,67280,558083,8.29493162901308,New
