Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,382657,6479608,16.933201274248216,Original
This Song,238457,3564244,14.947114154753267,Original
Actor,213293,3145460,14.74713187962099,Original
Caramel,193313,2618353,13.544629693812626,Original
Eleven Eleven,165258,2772590,16.77734209539024,Original
Nauseous,163348,2439391,14.933705952934838,Original
My World,156193,2087582,13.365400498101707,Original
Romeo,146942,1797784,12.234650406282752,Original
Sunset Tower,127792,1739573,13.612534430950294,Original
The Best,124572,1463292,11.74655620845776,New
Connell,124352,1769197,14.227330481214617,Original
Care,122839,1853896,15.092079876912056,Original
Class Clown,122534,1523305,12.431692428224004,Original
Door,83342,596375,7.155755801396655,New
Moths,67079,784632,11.697133230966472,New
House That Always Rains,61477,529542,8.613660393317826,New
Do I Dare,61297,457522,7.464019446302429,New
