Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,374173,6362335,17.003725549411637,Original
This Song,236366,3522162,14.901305602328591,Original
Actor,210224,3086297,14.680992655453231,Original
Caramel,190409,2567187,13.482487697535305,Original
Nauseous,161479,2396508,14.840988611522242,Original
Eleven Eleven,160952,2715359,16.87061359908544,Original
My World,153949,2046443,13.29299313408986,Original
Romeo,145737,1769143,12.139285150648085,Original
Sunset Tower,126627,1706594,13.477331058936878,Original
Connell,123281,1737865,14.096778903480667,Original
Class Clown,121569,1498674,12.327764479431433,Original
The Best,121412,1400485,11.534980067868085,New
Care,121381,1818532,14.982015307173281,Original
Door,80279,548804,6.83620872208174,New
Moths,63879,704164,11.02340362247374,New
House That Always Rains,59364,480874,8.10043123778721,New
Do I Dare,59325,419872,7.077488411293721,New
