Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,374475,6370657,17.01223579678216,Original
This Song,236495,3525902,14.908991733440454,Original
Actor,210383,3090895,14.69175266062372,Original
Caramel,190546,2571072,13.493182748522667,Original
Nauseous,161600,2400099,14.852097772277228,Original
Eleven Eleven,161166,2719674,16.874986039239044,Original
My World,154077,2049906,13.30442570922331,Original
Romeo,145842,1771769,12.148551171816075,Original
Sunset Tower,126723,1709117,13.48703076789533,Original
Connell,123370,1740593,14.108721731377159,Original
Class Clown,121650,1500994,12.338627209206741,Original
The Best,121609,1405770,11.559752978809135,New
Care,121496,1821740,14.994238493448345,Original
Door,80499,552961,6.8691660765972244,New
Moths,64086,711585,11.103595168991667,New
House That Always Rains,59515,485002,8.149239687473747,New
Do I Dare,59466,423030,7.113812935122591,New
