Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,400364,6836850,17.076585307370294,Original
This Song,243895,3703273,15.183882408413456,Original
Actor,221287,3337279,15.081224834716906,Original
Caramel,200146,2774486,13.862310513325273,Original
Eleven Eleven,174331,2950892,16.92694930907297,Original
Nauseous,169087,2589100,15.312235712976161,Original
My World,161913,2213812,13.672848999153867,Original
Romeo,150590,1890002,12.550647453350155,Original
The Best,134243,1660369,12.368384198803662,New
Sunset Tower,131721,1844727,14.004805611861434,Original
Connell,127955,1869425,14.610019147356493,Original
Care,126877,1967216,15.504906326599778,Original
Class Clown,125680,1604928,12.76995544239338,Original
Door,97903,768378,7.848360111538972,New
Moths,78791,1047603,13.29597289030473,New
House That Always Rains,68757,674836,9.814797038846955,New
Do I Dare,68320,576687,8.440968969555035,New
