Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,400053,6832191,17.078214636560656,Original
This Song,243797,3700890,15.18021140539055,Original
Actor,221163,3334595,15.077544616414137,Original
Caramel,200034,2771932,13.857304258276093,Original
Eleven Eleven,174208,2948528,16.925330639235856,Original
Nauseous,168994,2587147,15.309105648721257,Original
My World,161840,2212015,13.667912753336628,Original
Romeo,150519,1888426,12.546097170456886,Original
The Best,134124,1657668,12.359219826429275,New
Sunset Tower,131657,1843142,13.999574652316246,Original
Connell,127892,1867866,14.605026115785193,Original
Care,126801,1965524,15.50085567148524,Original
Class Clown,125631,1603700,12.765161464925058,Original
Door,97801,765929,7.831504790339567,New
Moths,78633,1043145,13.265995192857961,New
House That Always Rains,68625,672410,9.79832422586521,New
Do I Dare,68222,575012,8.428542112515025,New
