Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,385361,6540154,16.971499451163975,Original
This Song,239380,3588502,14.990817946361433,Original
Actor,214584,3177749,14.808881370465645,Original
Caramel,194401,2644693,13.604317879023256,Original
Eleven Eleven,166606,2802074,16.818565958008715,Original
Nauseous,164236,2463568,15.000170486373268,Original
My World,157241,2109731,13.41718126951622,Original
Romeo,147526,1813024,12.289521846996461,Original
Sunset Tower,128393,1756297,13.679071288933198,Original
The Best,126087,1496590,11.869502803619723,New
Connell,124951,1785643,14.290745972421188,Original
Care,123490,1872582,15.163835128350474,Original
Class Clown,123039,1536797,12.490324206146019,Original
Door,84938,621837,7.321069485978008,New
Moths,68675,824229,12.001878412813978,New
House That Always Rains,62508,552702,8.84210021117297,New
Do I Dare,62282,477049,7.65950033717607,New
