Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,384886,6531025,16.968725804523938,Original
This Song,239257,3585393,14.985530203922979,Original
Actor,214422,3173481,14.80016509499958,Original
Caramel,194236,2641018,13.59695422063881,Original
Eleven Eleven,166372,2797788,16.8164595003967,Original
Nauseous,164091,2460015,14.99177285774357,Original
My World,157055,2106749,13.414084238005794,Original
Romeo,147428,1810932,12.283501098841468,Original
Sunset Tower,128302,1753874,13.66988823245156,Original
The Best,125885,1491861,11.85098304007626,New
Connell,124850,1783301,14.28354825790949,Original
Care,123398,1870036,15.154508176793788,Original
Class Clown,122961,1534925,12.483023072356275,Original
Door,84744,618436,7.297696592089116,New
Moths,68422,818434,11.96156207067902,New
House That Always Rains,62347,549703,8.816831603766019,New
Do I Dare,62150,474387,7.632936444086886,New
