Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,370800,6280243,16.937009169363538,Original
This Song,235216,3484271,14.813069689136793,Original
Actor,208805,3038108,14.549977251502598,Original
Caramel,188970,2526465,13.369661851087475,Original
Nauseous,160339,2359646,14.71660668957646,Original
Eleven Eleven,159185,2669741,16.77131011087728,Original
My World,152698,2010079,13.16375460058416,Original
Romeo,144896,1742545,12.026177396201414,Original
Sunset Tower,125717,1673792,13.313967084801579,Original
Connell,122439,1711880,13.98149282499857,Original
Class Clown,120796,1474691,12.208111195734958,Original
Care,120398,1787282,14.844781474775328,Original
The Best,119084,1343914,11.28542877296698,New
Door,77853,504108,6.4751261993757465,New
Moths,61416,630571,10.267210498892796,New
Do I Dare,57575,382500,6.643508467216674,New
House That Always Rains,57422,435695,7.587597088224026,New
