Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,405684,6923148,17.065371076995888,Original
This Song,245643,3738004,15.217221740493317,Original
Actor,223267,3382482,15.149941549803598,Original
Caramel,201906,2810301,13.918858280586015,Original
Eleven Eleven,176680,2995767,16.95589200815033,Original
Nauseous,170829,2623861,15.359575950219226,Original
My World,163196,2241687,13.736163876565602,Original
Romeo,151703,1913891,12.616039234556997,Original
The Best,136077,1705127,12.53060399626682,New
Sunset Tower,132908,1873033,14.092703223282271,Original
Connell,129058,1898176,14.707929768011281,Original
Care,128167,1995216,15.567314519338051,Original
Class Clown,126692,1629492,12.861838158684053,Original
Door,99428,802578,8.071951562940017,New
Moths,81193,1112322,13.699727809047578,New
House That Always Rains,70432,706804,10.03526805997274,New
Do I Dare,69745,603494,8.652864004588142,New
