Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,388699,6606080,16.995361449347694,Original
This Song,240384,3612888,15.029652555910543,Original
Actor,216262,3213092,14.857404444608854,Original
Caramel,195807,2673633,13.654430127625671,Original
Eleven Eleven,168631,2835970,16.817607675931473,Original
Nauseous,165208,2490747,15.076430923441965,Original
My World,158362,2132758,13.467612179689572,Original
Romeo,148136,1829045,12.347066209429173,Original
Sunset Tower,129123,1775870,13.753320477374286,Original
The Best,127926,1533178,11.984881884839673,New
Connell,125563,1802827,14.357947803094861,Original
Care,124208,1893147,15.241747713512817,Original
Class Clown,123512,1550516,12.553565645443358,Original
Door,88927,654453,7.359440889718533,New
Moths,71095,868758,12.21967789577326,New
House That Always Rains,63837,579418,9.076523019565455,New
Do I Dare,63586,498779,7.844163809643632,New
