Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,403512,6886623,17.06671177065366,Original
This Song,244951,3725013,15.207176129103372,Original
Actor,222457,3363142,15.118166656926956,Original
Caramel,201262,2796602,13.895330464767317,Original
Eleven Eleven,175732,2976752,16.939157353242436,Original
Nauseous,170145,2610311,15.341685033353905,Original
My World,162705,2230782,13.710592790633354,Original
Romeo,151269,1904339,12.589089635021056,Original
The Best,135461,1686188,12.447774636242166,New
Sunset Tower,132431,1861712,14.057977361795954,Original
Connell,128612,1886413,14.66747270861195,Original
Care,127633,1983875,15.543589823948352,Original
Class Clown,126278,1619203,12.822526489174678,Original
Door,98898,790648,7.994580274626383,New
Moths,80363,1089145,13.552816594701541,New
House That Always Rains,69863,694468,9.940426262828678,New
Do I Dare,69180,592710,8.56764960971379,New
