Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,403662,6889451,17.067375675689068,Original
This Song,245011,3726119,15.207966172947337,Original
Actor,222510,3364428,15.12034515302683,Original
Caramel,201315,2797786,13.897553585177459,Original
Eleven Eleven,175789,2978253,16.94220343707513,Original
Nauseous,170189,2611323,15.343664984223421,Original
My World,162743,2231645,13.71269424798609,Original
Romeo,151305,1905132,12.591335382175076,Original
The Best,135515,1687492,12.452436999594141,New
Sunset Tower,132464,1862497,14.060401316584128,Original
Connell,128643,1887262,14.670537845044036,Original
Care,127669,1984655,15.545316404138827,Original
Class Clown,126306,1619954,12.825629819644355,Original
Door,98939,791553,8.000414396749512,New
Moths,80423,1091161,13.567772900787089,New
House That Always Rains,69911,695475,9.94800532105105,New
Do I Dare,69218,593593,8.575702851859344,New
