Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,371230,6289781,16.94308380249441,Original
This Song,235350,3488267,14.821614616528574,Original
Actor,209000,3043874,14.56399043062201,Original
Caramel,189187,2531397,13.3803961160122,Original
Nauseous,160481,2363993,14.730672166798561,Original
Eleven Eleven,159420,2674952,16.77927487140886,Original
My World,152863,2014477,13.178316531796446,Original
Romeo,145005,1745854,12.039957242853694,Original
Sunset Tower,125838,1677060,13.327134887712774,Original
Connell,122571,1715010,13.991971999902098,Original
Class Clown,120909,1477860,12.22291144579808,Original
Care,120525,1791141,14.861157436216553,Original
The Best,119407,1350789,11.3124774929443,New
Door,78173,509303,6.515075537589705,New
Moths,61770,638666,10.339420430629756,New
Do I Dare,57849,386981,6.689501979290912,New
House That Always Rains,57712,441725,7.653954116994733,New
