Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,384092,6513363,16.957820001457986,Original
This Song,238961,3578863,14.976766083168384,Original
Actor,214036,3163988,14.782503877852324,Original
Caramel,193906,2633489,13.581266180520458,Original
Eleven Eleven,165954,2789068,16.806271617436156,Original
Nauseous,163832,2453011,14.972722056741052,Original
My World,156734,2100494,13.401648653132058,Original
Romeo,147253,1806430,12.2675259587241,Original
Sunset Tower,128118,1748881,13.650548712905291,Original
The Best,125486,1482398,11.813254068182905,New
Connell,124647,1778644,14.2694489237607,Original
Care,123208,1864753,15.134999350691514,Original
Class Clown,122816,1530961,12.465484953100573,Original
Door,84334,611152,7.24680437308796,New
Moths,68007,807723,11.877056773567427,New
House That Always Rains,62076,542840,8.744764482247568,New
Do I Dare,61861,468990,7.58135174019172,New
