Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,380705,6451005,16.944891714056816,Original
This Song,237960,3554249,14.936329635232813,Original
Actor,212413,3130595,14.73824577591767,Original
Caramel,192527,2605496,13.533146000301256,Original
Eleven Eleven,164350,2759065,16.787739580164285,Original
Nauseous,162772,2428050,14.916877595655272,Original
My World,155615,2077150,13.34800629759342,Original
Romeo,146618,1790502,12.212020352207778,Original
Sunset Tower,127455,1730716,13.579035738103645,Original
Connell,124037,1761490,14.201327023388183,Original
The Best,123761,1447279,11.694144358885271,New
Care,122363,1844680,15.075472160702173,Original
Class Clown,122237,1517109,12.411209371957755,Original
Door,82461,584486,7.088029492729897,New
Moths,66237,765440,11.556078928695442,New
House That Always Rains,60856,517734,8.50752596292888,New
Do I Dare,60757,448388,7.380022055071843,New
