Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,405494,6919860,17.06525867213818,Original
This Song,245593,3738004,15.220319797388361,Original
Actor,223201,3379642,15.141697393828881,Original
Caramel,201906,2810301,13.918858280586015,Original
Eleven Eleven,176680,2995767,16.95589200815033,Original
Nauseous,170709,2622842,15.364403751413224,Original
My World,163119,2241687,13.742648005443879,Original
Romeo,151667,1913205,12.614510737339039,Original
The Best,136077,1703308,12.517236564592105,New
Sunset Tower,132872,1872164,14.089981335420555,Original
Connell,129024,1897354,14.70543464781746,Original
Care,128088,1993493,15.563464180875648,Original
Class Clown,126662,1628786,12.859310606180228,Original
Door,99428,802578,8.071951562940017,New
Moths,81138,1110630,13.68816091104045,New
House That Always Rains,70432,704871,10.007823148568832,New
Do I Dare,69709,602674,8.645569438666456,New
