Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,404924,6910185,17.065387578903696,Original
This Song,245383,3733827,15.216323054164306,Original
Actor,222935,3373701,15.133115033529952,Original
Caramel,201696,2805984,13.911946692051403,Original
Eleven Eleven,176353,2990273,16.95617880047405,Original
Nauseous,170546,2618861,15.355745663926449,Original
My World,163009,2238101,13.729922887693318,Original
Romeo,151542,1910603,12.607745707460637,Original
The Best,135849,1696475,12.487946175533128,New
Sunset Tower,132730,1868543,14.077774429292548,Original
Connell,128883,1894134,14.696538721165709,Original
Care,127931,1990915,15.562412550515512,Original
Class Clown,126526,1625752,12.849153533661065,Original
Door,99244,798716,8.048002901938656,New
Moths,80882,1103804,13.647090823669048,New
House That Always Rains,70228,702140,9.998006493136641,New
Do I Dare,69525,599422,8.621675656238763,New
