Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,370048,6260235,16.917359369595296,Original
This Song,234938,3475681,14.794035022005806,Original
Actor,208435,3026399,14.519629620745077,Original
Caramel,188626,2515962,13.338362685949974,Original
Nauseous,160061,2350002,14.681915019898664,Original
Eleven Eleven,158740,2658535,16.747732140607283,Original
My World,152388,2001121,13.131749219098616,Original
Romeo,144693,1735603,11.99507232554443,Original
Sunset Tower,125510,1666625,13.278822404589276,Original
Connell,122249,1705088,13.947664193572136,Original
Class Clown,120595,1468587,12.177843194162278,Original
Care,120120,1779039,14.810514485514485,Original
The Best,118513,1330068,11.222971319602069,New
Door,77198,492042,6.373766159745071,New
Moths,60691,613338,10.105913562142657,New
Do I Dare,56969,373061,6.548491284733802,New
House That Always Rains,56809,424384,7.470365611082751,New
