Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,396787,6777467,17.080869584941038,Original
This Song,242581,3674881,15.14908834574843,Original
Actor,219718,3302722,15.031640557441811,Original
Caramel,198781,2744429,13.80629436414949,Original
Eleven Eleven,172544,2917640,16.909541913946587,Original
Nauseous,167759,2561018,15.266054280247259,Original
My World,160862,2190320,13.616143029428951,Original
Romeo,149705,1870787,12.496489763200962,Original
The Best,132666,1625645,12.253667103854793,New
Sunset Tower,130806,1822437,13.93236548782166,Original
Connell,127082,1848818,14.548228702727373,Original
Care,125933,1944225,15.438566539350289,Original
Class Clown,124922,1587261,12.706016554329901,Original
Door,96340,736586,7.645692339630475,New
Moths,76783,992095,12.920763710717216,New
House That Always Rains,67448,648060,9.608290831455344,New
Do I Dare,67059,554439,8.267928242294099,New
