Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,396350,6769282,17.079051343509523,Original
This Song,242450,3671709,15.144190554753557,Original
Actor,219551,3298300,15.02293316814772,Original
Caramel,198642,2740865,13.798013511744747,Original
Eleven Eleven,172358,2913846,16.905777509602107,Original
Nauseous,167622,2557856,15.259667585400484,Original
My World,160739,2187560,13.609391622443837,Original
Romeo,149615,1868742,12.490338535574642,Original
The Best,132433,1621646,12.245029562118203,New
Sunset Tower,130703,1820153,13.925870102446003,Original
Connell,127001,1844433,14.522980134014693,Original
Care,125855,1941676,15.427881291962974,Original
Class Clown,124850,1585337,12.69793352022427,Original
Door,96105,733400,7.6312366682274595,New
Moths,76529,986363,12.888748056292386,New
House That Always Rains,67272,644600,9.581995481032227,New
Do I Dare,66901,551984,8.25075858357872,New
