Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,383769,6503393,16.94611341718586,Original
This Song,238829,3574538,14.966934501254036,Original
Actor,213842,3158876,14.772009240467261,Original
Caramel,193749,2629324,13.570774558836433,Original
Eleven Eleven,165808,2784969,16.796348788960724,Original
Nauseous,163706,2449357,14.961925647196804,Original
My World,156595,2097202,13.392522111178518,Original
Romeo,147167,1804108,12.258916740845434,Original
Sunset Tower,128034,1746394,13.640079978755644,Original
The Best,125239,1477298,11.795830372328108,New
Connell,124576,1776061,14.25684722578988,Original
Care,123116,1861802,15.122339907079501,Original
Class Clown,122734,1528765,12.45592093470432,Original
Door,84116,607244,7.21912596890009,New
Moths,67764,802082,11.83640280975149,New
House That Always Rains,61929,539199,8.706728673157972,New
Do I Dare,61736,465805,7.545111442270312,New
