Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,399745,6827379,17.079335576429973,Original
This Song,243691,3698611,15.177462442191135,Original
Actor,221032,3331964,15.07457743675124,Original
Caramel,199925,2769460,13.852494685507065,Original
Eleven Eleven,174057,2945793,16.92430066012858,Original
Nauseous,168879,2584882,15.306118581943284,Original
My World,161749,2210108,13.663812450154252,Original
Romeo,150448,1886908,12.541928108050621,Original
The Best,133992,1655128,12.352438951579199,New
Sunset Tower,131584,1841374,13.993905034046692,Original
Connell,127814,1866225,14.601100035989798,Original
Care,126731,1963728,15.495245835667674,Original
Class Clown,125574,1602315,12.759926417889053,Original
Door,97686,763573,7.816606269066192,New
Moths,78455,1038683,13.239219934994583,New
House That Always Rains,68521,670359,9.783263525050714,New
Do I Dare,68115,573105,8.413785509799604,New
