Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,373185,6336601,16.979784825220737,Original
This Song,235972,3510791,14.877998237078975,Original
Actor,209766,3071406,14.642058293527073,Original
Caramel,189936,2554287,13.448145691180187,Original
Nauseous,161106,2384649,14.80173922758929,Original
Eleven Eleven,160455,2700896,16.832731918606463,Original
My World,153563,2035494,13.255107024478553,Original
Romeo,145461,1760867,12.105423446834546,Original
Sunset Tower,126321,1693571,13.406884049366298,Original
Connell,123023,1729576,14.058964583858303,Original
Class Clown,121346,1491397,12.290450447480758,Original
Care,121042,1808803,14.943598089919202,Original
The Best,120657,1382924,11.461614328219664,New
Door,79471,534959,6.7314995407129645,New
Moths,63139,681696,10.796750027716625,New
Do I Dare,58833,409084,6.95330851732871,New
House That Always Rains,58819,466937,7.938540267600605,New
