Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,397929,6794938,17.075754720063127,Original
This Song,242993,3682722,15.155671151020812,Original
Actor,220238,3312375,15.039979476747883,Original
Caramel,199178,2752447,13.819031218307243,Original
Eleven Eleven,173020,2926828,16.91612530343313,Original
Nauseous,168144,2568989,15.278505328765819,Original
My World,161192,2196478,13.62647029629262,Original
Romeo,149992,1875799,12.505993652994826,Original
The Best,133139,1635455,12.283816162056198,New
Sunset Tower,131080,1828440,13.949038754958805,Original
Connell,127350,1854166,14.559607381232823,Original
Care,126235,1950210,15.449043450707014,Original
Class Clown,125179,1591781,12.716038632678005,Original
Door,96831,745668,7.700715679895901,New
Moths,77381,1006989,13.013388299453354,New
House That Always Rains,67847,656994,9.6834642651849,New
Do I Dare,67457,560643,8.311116711386513,New
