Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,391355,6661785,17.022358216964136,Original
This Song,241103,3633122,15.068754847513304,Original
Actor,217488,3243873,14.915181527256676,Original
Caramel,196873,2697793,13.703214762816637,Original
Eleven Eleven,170187,2863689,16.82672001974299,Original
Nauseous,166051,2514898,15.145334866998693,Original
My World,159167,2152286,13.52218738808924,Original
Romeo,148615,1843122,12.401991723581066,Original
The Best,129792,1564712,12.055535009861932,New
Sunset Tower,129671,1791498,13.815718240778585,Original
Connell,126055,1817643,14.419443893538535,Original
Care,124815,1910470,15.306413491968113,Original
Class Clown,123969,1562935,12.607466382724713,Original
Door,92373,684608,7.411343141394131,New
Moths,73506,911256,12.39702881397437,New
House That Always Rains,65333,603978,9.244608390859137,New
Do I Dare,64911,518202,7.983269399639506,New
