Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,403819,6894767,17.073904397762362,Original
This Song,245105,3728385,15.211378796842169,Original
Actor,222634,3367123,15.124028674865475,Original
Caramel,201421,2800087,13.90166367955675,Original
Eleven Eleven,175937,2981379,16.9457192063068,Original
Nauseous,170309,2613357,15.344796810503261,Original
My World,162821,2233519,13.717634703140257,Original
Romeo,151378,1906550,12.594630659673136,Original
The Best,135606,1689872,12.461631491231952,New
Sunset Tower,132556,1864133,14.062984700805698,Original
Connell,128715,1889687,14.68117158062386,Original
Care,127732,1986413,15.551412332070273,Original
Class Clown,126375,1621538,12.831161226508408,Original
Door,99021,793698,8.015451267912868,New
Moths,80545,1094477,13.588391582345272,New
House That Always Rains,70005,697285,9.960502821227054,New
Do I Dare,69306,595407,8.590987793264652,New
