Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,386705,6564914,16.97654284273542,Original
This Song,239755,3597404,15.00450042751976,Original
Actor,215215,3190365,14.824082893850335,Original
Caramel,194889,2654946,13.622862244662347,Original
Eleven Eleven,167180,2814271,16.833777963871277,Original
Nauseous,164577,2473970,15.032294913627055,Original
My World,157702,2118149,13.43133885429481,Original
Romeo,147743,1818771,12.310370034451717,Original
Sunset Tower,128629,1762872,13.70508983199745,Original
The Best,126627,1509333,11.919519533748726,New
Connell,125147,1791773,14.317346800163008,Original
Care,123734,1879475,15.189640680815298,Original
Class Clown,123191,1541785,12.515402910926934,Original
Door,85438,631846,7.395374423558604,New
Moths,69328,839948,12.115566582044773,New
House That Always Rains,62874,561967,8.937987085281675,New
Do I Dare,62640,484469,7.7341794380587485,New
