Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,397674,6790755,17.076185518791775,Original
This Song,242897,3680899,15.154155876770812,Original
Actor,220112,3310000,15.037798938722105,Original
Caramel,199083,2750643,13.816563945690993,Original
Eleven Eleven,172912,2924820,16.915078190061998,Original
Nauseous,168052,2567257,15.27656320662652,Original
My World,161104,2195013,13.624819992054821,Original
Romeo,149924,1874579,12.503528454416905,Original
The Best,133034,1633343,12.277635792353834,New
Sunset Tower,131015,1826943,13.944533068732587,Original
Connell,127287,1852860,14.556553300808408,Original
Care,126166,1948744,15.445872897611084,Original
Class Clown,125116,1590718,12.713945458614406,Original
Door,96739,743635,7.687023847672603,New
Moths,77240,1002979,12.985227861211808,New
House That Always Rains,67749,654922,9.666888072148666,New
Do I Dare,67353,559262,8.303446023191245,New
