Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,373846,6354277,16.997044237466763,Original
This Song,236257,3518632,14.893239142120656,Original
Actor,210065,3081620,14.66984028753005,Original
Caramel,190246,2563066,13.472377868654268,Original
Nauseous,161341,2392572,14.829287038012657,Original
Eleven Eleven,160788,2710373,16.856811453591064,Original
My World,153829,2042945,13.280623289496779,Original
Romeo,145645,1766526,12.12898486044835,Original
Sunset Tower,126539,1702585,13.455021771943828,Original
Connell,123201,1735367,14.085656772266459,Original
Class Clown,121500,1496312,12.315325102880658,Original
Care,121264,1815385,14.970518867924529,Original
The Best,121180,1395114,11.512741376464763,New
Door,80024,544369,6.802571728481456,New
Moths,63653,697014,10.950214443938227,New
House That Always Rains,59197,476868,8.05561092622937,New
Do I Dare,59162,416837,7.045688110611541,New
