Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,376301,6408516,17.030292239457243,Original
This Song,237007,3540610,14.938841468817376,Original
Actor,210980,3110632,14.743729263437293,Original
Caramel,191163,2588388,13.54021437202806,Original
Eleven Eleven,162128,2739165,16.89507672949768,Original
Nauseous,162024,2414825,14.904119142843035,Original
My World,154527,2063660,13.354688824606702,Original
Romeo,146154,1781907,12.19198242949218,Original
Sunset Tower,127066,1721486,13.547967198148994,Original
Connell,123651,1752434,14.172420764894744,Original
The Best,122509,1427611,11.65311119999347,New
Class Clown,121905,1510065,12.387227759320783,Original
Care,121853,1834421,15.05437699523196,Original
Door,81467,570381,7.001374789792186,New
Moths,64886,741133,11.422078722682858,New
House That Always Rains,60060,503118,8.376923076923077,New
Do I Dare,59966,436868,7.285261648267351,New
