Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,396913,6779640,17.080922015655823,Original
This Song,242627,3675955,15.150642756164812,Original
Actor,219778,3303807,15.032473677984148,Original
Caramel,198820,2745478,13.808862287496227,Original
Eleven Eleven,172595,2918819,16.91137634346302,Original
Nauseous,167795,2561907,15.268077117911737,Original
My World,160893,2191057,13.618100228101905,Original
Romeo,149735,1871361,12.497819481083248,Original
The Best,132740,1626959,12.256734970619256,New
Sunset Tower,130835,1823148,13.93471165972408,Original
Connell,127111,1849523,14.550455900748165,Original
Care,125972,1944948,15.439526243927222,Original
Class Clown,124945,1587798,12.707975509224058,Original
Door,96417,737740,7.651555223663877,New
Moths,76865,993652,12.927236063227737,New
House That Always Rains,67505,649393,9.619924450040738,New
Do I Dare,67101,555477,8.27822238118657,New
