Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,402931,6877140,17.06778579955377,Original
This Song,244772,3720650,15.200472276240747,Original
Actor,222255,3358782,15.112289937234259,Original
Caramel,201091,2793015,13.889308820384802,Original
Eleven Eleven,175484,2972600,16.939436073944062,Original
Nauseous,169970,2607081,15.338477378360887,Original
My World,162555,2228050,13.706437821045185,Original
Romeo,151140,1902071,12.584828635701998,Original
The Best,135286,1682411,12.435957896604231,New
Sunset Tower,132318,1859013,14.049585090463882,Original
Connell,128482,1883861,14.662450771314269,Original
Care,127515,1981308,15.537842606752147,Original
Class Clown,126172,1616594,12.81262086675332,Original
Door,98760,787808,7.976994734710409,New
Moths,80106,1082196,13.50954984645345,New
House That Always Rains,69708,691502,9.919980490044184,New
Do I Dare,69033,590138,8.548636159517912,New
