Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,403342,6883605,17.066422539680964,Original
This Song,244897,3723684,15.205102553318333,Original
Actor,222395,3361724,15.116005305874683,Original
Caramel,201203,2795412,13.893490653717887,Original
Eleven Eleven,175648,2975474,16.939982237201676,Original
Nauseous,170085,2609287,15.341076520563249,Original
My World,162659,2229914,13.709133832127334,Original
Romeo,151229,1903561,12.58727492742794,Original
The Best,135399,1684955,12.444368126795618,New
Sunset Tower,132394,1860780,14.054866534737224,Original
Connell,128572,1885647,14.666078150763774,Original
Care,127595,1983077,15.541964810533328,Original
Class Clown,126245,1618322,12.818899758406273,Original
Door,98853,789731,7.98894317825458,New
Moths,80273,1087265,13.544591581229056,New
House That Always Rains,69819,693509,9.932955212764433,New
Do I Dare,69117,591875,8.563378040134843,New
