Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,374829,6379924,17.020892193506906,Original
This Song,236621,3529730,14.917230507858559,Original
Actor,210549,3095985,14.704344356895545,Original
Caramel,190695,2575442,13.505555992553553,Original
Nauseous,161727,2404089,14.865106011983157,Original
Eleven Eleven,161327,2724241,16.886454220310302,Original
My World,154209,2053501,13.316349888787295,Original
Romeo,145940,1774558,12.159503905714677,Original
Sunset Tower,126821,1712109,13.500201070800577,Original
Connell,123463,1743697,14.123235301264346,Original
The Best,121871,1411561,11.58241911529404,New
Class Clown,121734,1503331,12.349310792383394,Original
Care,121608,1824847,15.005978225116769,Original
Door,80762,557512,6.903147519873207,New
Moths,64285,719987,11.199922221358015,New
House That Always Rains,59641,489439,8.206418403447293,New
Do I Dare,59593,426681,7.159918111187555,New
