Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,383069,6487814,16.93641093380044,Original
This Song,238568,3567531,14.953937661379564,Original
Actor,213479,3150189,14.756435059186149,Original
Caramel,193453,2621926,13.553297183295168,Original
Eleven Eleven,165425,2776533,16.78424059241348,Original
Nauseous,163469,2442917,14.944221840226588,Original
My World,156325,2091378,13.3783975691668,Original
Romeo,147020,1799993,12.243184600734594,Original
Sunset Tower,127882,1741863,13.620861419120752,Original
The Best,124809,1468050,11.762372905800062,New
Connell,124437,1771458,14.235781961956652,Original
Care,122937,1856423,15.10060437459837,Original
Class Clown,122611,1525315,12.44027860469289,Original
Door,83618,599807,7.173180415699969,New
Moths,67325,790470,11.741106572595617,New
House That Always Rains,61617,532907,8.648700845545871,New
Do I Dare,61434,460334,7.4931471172315005,New
