Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,389078,6613251,16.997237057865004,Original
This Song,240470,3615427,15.034835946271885,Original
Actor,216443,3217254,14.864209052729818,Original
Caramel,195928,2676449,13.660370135968314,Original
Eleven Eleven,168898,2840081,16.815361934421958,Original
Nauseous,165324,2493487,15.082426024049745,Original
My World,158494,2135227,13.471973702474541,Original
Romeo,148193,1830852,12.354510671894085,Original
Sunset Tower,129189,1777775,13.761040026627654,Original
The Best,128190,1537229,11.99180123254544,New
Connell,125620,1804544,14.365101098551186,Original
Care,124273,1895200,15.25029571990698,Original
Class Clown,123564,1552256,12.562364442717945,Original
Door,89581,658945,7.355856710686417,New
Moths,71474,873726,12.224389288412569,New
House That Always Rains,64048,582334,9.092149637771671,New
Do I Dare,63711,501147,7.865941517163441,New
