Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,399612,6824804,17.078576218932366,Original
This Song,243635,3697426,15.176087179592423,Original
Actor,220973,3330438,15.07169654211148,Original
Caramel,199871,2768133,13.849597990704003,Original
Eleven Eleven,173968,2944380,16.924836751586497,Original
Nauseous,168820,2583564,15.303660703708092,Original
My World,161696,2208939,13.66106149811993,Original
Romeo,150404,1886041,12.539832717214967,Original
The Best,133944,1653753,12.346600071671743,New
Sunset Tower,131530,1840313,13.991583669124914,Original
Connell,127761,1865267,14.599658737799485,Original
Care,126689,1962632,15.491731720986037,Original
Class Clown,125541,1601531,12.757035550138998,Original
Door,97632,762014,7.804961488036709,New
Moths,78372,1036226,13.221890471086613,New
House That Always Rains,68461,669351,9.777113977300946,New
Do I Dare,68056,572106,8.406400611261315,New
