Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,397179,6783590,17.07942766359752,Original
This Song,242719,3677670,15.151965853517854,Original
Actor,219877,3305837,15.034937715177122,Original
Caramel,198908,2747058,13.810696402356868,Original
Eleven Eleven,172710,2920760,16.91135429332407,Original
Nauseous,167880,2563871,15.272045508696689,Original
My World,160979,2192390,13.619105597624534,Original
Romeo,149796,1872431,12.499873160832065,Original
The Best,132849,1629114,12.262899984192579,New
Sunset Tower,130896,1824367,13.937530558611417,Original
Connell,127176,1850658,14.551943762974146,Original
Care,126041,1946217,15.44114216802469,Original
Class Clown,125006,1588798,12.70977393085132,Original
Door,96533,739454,7.660116229683114,New
Moths,76985,996266,12.941040462427745,New
House That Always Rains,67590,651289,9.635878088474627,New
Do I Dare,67200,556798,8.285684523809524,New
