Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,379330,6451005,17.006313763741332,Original
This Song,237516,3549632,14.94481213897169,Original
Actor,212413,3130595,14.73824577591767,Original
Caramel,192153,2600885,13.535489948114263,Original
Eleven Eleven,163720,2753211,16.816583190813585,Original
Nauseous,162441,2423827,14.921276032528734,Original
My World,155292,2073477,13.352117301599566,Original
Romeo,146618,1790502,12.212020352207778,Original
Sunset Tower,127455,1730716,13.579035738103645,Original
Connell,124037,1759174,14.182655175471835,Original
The Best,123416,1441783,11.682302132624619,New
Class Clown,122144,1515185,12.404907322504584,Original
Care,122144,1844680,15.102501964893897,Original
Door,82161,580521,7.065651586519151,New
Moths,65818,758375,11.52230392901638,New
House That Always Rains,60621,517734,8.540505765328847,New
Do I Dare,60517,445106,7.355057256638631,New
