Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,400218,6834464,17.076853115052298,Original
This Song,243849,3702201,15.182350553006163,Original
Actor,221221,3335928,15.079617215363822,Original
Caramel,200085,2773309,13.860654221955668,Original
Eleven Eleven,174268,2949714,16.9263089035279,Original
Nauseous,169038,2588113,15.310835433452834,Original
My World,161879,2212903,13.670105449131759,Original
Romeo,150558,1889152,12.547669336734016,Original
The Best,134185,1658950,12.363155345232329,New
Sunset Tower,131680,1843932,14.00312879708384,Original
Connell,127923,1868606,14.607271561798894,Original
Care,126834,1966370,15.503492754308782,Original
Class Clown,125655,1604300,12.767498308861565,Original
Door,97845,767136,7.840318871684808,New
Moths,78698,1045748,13.288114056265725,New
House That Always Rains,68686,673516,9.805724601811141,New
Do I Dare,68266,575865,8.435604839891015,New
