Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,402416,6869618,17.0709365432786,Original
This Song,244611,3717681,15.198339404196867,Original
Actor,222100,3355157,15.106515083295813,Original
Caramel,200904,2789624,13.88535818102178,Original
Eleven Eleven,175255,2968700,16.939316995235515,Original
Nauseous,169780,2603736,15.335940629049357,Original
My World,162437,2225370,13.699895959664362,Original
Romeo,151029,1899873,12.579524462189381,Original
The Best,135095,1678651,12.425707835227062,New
Sunset Tower,132197,1856644,14.04452445970786,Original
Connell,128383,1880879,14.650530054602244,Original
Care,127402,1978979,15.533343275615767,Original
Class Clown,126080,1614306,12.803822969543146,Original
Door,98622,784700,7.956642534120176,New
Moths,79890,1076782,13.478307673050445,New
House That Always Rains,69556,688710,9.901518201161654,New
Do I Dare,68924,587789,8.528074400789276,New
