Track,Listeners,Playcount,Intensity,Type
Vodka Cranberry,373544,6345747,16.987950549332876,Original
This Song,236113,3514948,14.886719494479339,Original
Actor,209903,3076722,14.657827663253979,Original
Caramel,190092,2558938,13.461576499800097,Original
Nauseous,161222,2388521,14.81510587885028,Original
Eleven Eleven,160627,2705766,16.8450260541503,Original
My World,153706,2039385,13.268089729743796,Original
Romeo,145548,1763768,12.118119108472806,Original
Sunset Tower,126442,1697001,13.421181253064645,Original
Connell,123124,1732625,14.072195510217341,Original
Class Clown,121424,1493967,12.30372084596126,Original
Care,121168,1812140,14.955598837977023,Original
The Best,120944,1389194,11.486258102923667,New
Door,79753,539700,6.767143555728311,New
Moths,63409,689441,10.872920247914333,New
House That Always Rains,59021,471760,7.993087206248624,New
Do I Dare,59003,413252,7.003915055166686,New
